01/01/2015,2611,0,0,8.3,-2.7,1.7,3.7,1
02/01/2015,5155,0,0,9.4,1.7,5.3,1.3,0
03/01/2015,1718,12.7,0,5.6,1.1,4,1.5,0
04/01/2015,3711,5.1,0,19.4,5.6,18.22972603,5.6,0
05/01/2015,5262,0,0,11.1,-1.6,7.8,6.4,0
06/01/2015,2086,5.1,61,0,-4.3,-1.9,2.2,0
07/01/2015,3063,0,0,-1,-9.3,-3,6.8,0
08/01/2015,2976,0,0,-3.2,-11,-8.2,5.1,0
09/01/2015,4237,0,0,5.6,-3.2,-0.6,5.5,0
10/01/2015,2694,0,0,-1,-7.1,-3.2,3.5,0
11/01/2015,3486,0,0,6.1,-6,-1.7,2.2,0
12/01/2015,2168,19.1,0,6.1,1.7,2.9,1.8,0
13/01/2015,5520,0,0,5.6,-1.6,3.1,5.4,0
14/01/2015,4598,0,5,0.6,-3.2,-1.2,3.6,0
15/01/2015,5812,0,0,5.6,0,1.5,2.6,0
16/01/2015,5729,0,0,8.9,-2.7,2.7,4.3,0
17/01/2015,4265,0,0,4.4,-2.1,1.5,4,0
18/01/2015,2548,15.2,0,7.2,1.1,3.2,2.2,0
19/01/2015,4687,0,0,10,0.6,6.6,2.8,1
20/01/2015,6316,0,0,10,-0.5,3.7,0.9,0
21/01/2015,5402,2,10,3.9,1.1,2.7,2,0
22/01/2015,6424,0,0,9.4,2.2,4.3,3.7,0
23/01/2015,4774,16.5,0,6.1,-0.5,3.4,2.3,0
24/01/2015,3504,12.2,0,7.2,2.8,3.8,4.3,0
25/01/2015,5210,0,0,11.1,2.2,6.4,2.7,0
26/01/2015,2448,5.3,13,7.8,-1.6,4.6,5.9,0
27/01/2015,4102,0.3,3,2.8,-1,0.2,6.6,0
28/01/2015,5131,0,0,3.9,-4.3,-0.6,6,0
29/01/2015,4679,1.3,0,4.4,-3.2,0.1,2.6,0
30/01/2015,4905,0,0,6.1,-4.9,4,6.9,0
31/01/2015,3371,0,0,2.2,-6.6,-2.9,4.3,0
01/02/2015,3621,1,0,6.7,-2.7,0.8,1.8,0
02/02/2015,3911,2.3,0,10,-2.7,4.6,5.5,0
03/02/2015,5162,0,0,3.9,-3.8,-1.4,4.2,0
04/02/2015,6138,0,0,12.8,-1.6,2.9,3.9,0
05/02/2015,5076,0,0,6.7,-6,3.7,7.5,0
06/02/2015,5006,0,0,3.3,-8.2,-3.6,3.2,0
07/02/2015,5036,0,0,10,-3.2,2.3,1.7,0
08/02/2015,6829,0,0,20,1.7,6.9,2.1,0
09/02/2015,5017,1.8,0,7.2,1.1,5.3,4.7,0
10/02/2015,5768,0.5,0,4.4,0.6,2,6.8,0
11/02/2015,6708,0,0,8.3,-1.6,2.4,3.4,0
12/02/2015,5509,0,0,6.7,-6.6,2.9,5.9,0
13/02/2015,4078,0,0,-1,-9.3,-5.1,5.8,0
14/02/2015,3004,0,3,7.2,-7.7,-0.7,6,0
15/02/2015,1055,0,0,-5.5,-11.6,-7.3,9.8,0
16/02/2015,1335,7.4,74,-6.6,-12.1,-9.8,3.4,1
17/02/2015,1198,5.8,46,-0.5,-8.2,-6.3,2.6,0
18/02/2015,3183,0,3,1.1,-10.5,-4.2,3.5,0
19/02/2015,2720,0,3,-6,-11.6,-7,7.3,0
20/02/2015,2517,0,0,-5.5,-14.9,-10.6,3.9,0
21/02/2015,758,17.8,66,1.7,-9.9,-6.8,4.4,0
22/02/2015,2021,2.5,0,10,1.7,3.7,1.5,0
23/02/2015,3655,0,0,5,-7.1,2.1,6.6,0
24/02/2015,3921,0,0,-1,-9.9,-5.8,3.8,0
25/02/2015,5016,0,0,5.6,-6,-1.4,1.9,0
26/02/2015,3531,3.6,56,3.9,-0.5,1.9,3.1,0
27/02/2015,4699,0,0,1.7,-3.8,0.7,4.6,0
28/02/2015,3294,0,0,0.6,-6.6,-3.2,2.3,0
01/03/2015,802,13,3,1.1,-4.3,-1.9,2.5,0
